feature_method,classifier,accuracy,precision,recall,f1_score,cv_mean,cv_std,confusion_matrix,roc_auc
BoW (Unigram),naive_bayes,0.890527950310559,0.8938426631060511,0.890527950310559,0.8895209442188947,0.8898568692386803,0.008676487714740062,"[[681  36]
 [105 466]]",0.9603499695901633
BoW (Unigram),logistic_regression,0.9099378881987578,0.9098733074467587,0.9099378881987578,0.9098700343448982,0.8886946512308113,0.001998165782133295,"[[663  54]
 [ 62 509]]",0.9689831878790545
BoW (Unigram),svm,0.9029503105590062,0.9029770343865334,0.9029503105590062,0.9027638502822075,0.8840331361393379,0.005604823843941834,"[[664  53]
 [ 72 499]]",0.9575630118683852
BoW (Unigram),random_forest,0.906832298136646,0.9090803960071018,0.906832298136646,0.9061809867275724,0.8918033343711965,0.006417015238504447,"[[685  32]
 [ 88 483]]",0.9627839778020406
BoW (Unigram),gradient_boosting,0.8788819875776398,0.8860735318203046,0.8788819875776398,0.8770712088938746,0.8747084076348985,0.005666416484222745,"[[688  29]
 [127 444]]",0.951514019056831
BoW (Bigram),naive_bayes,0.8944099378881988,0.8972439779354849,0.8944099378881988,0.8935311344652163,0.8906347004821347,0.00617515145040813,"[[681  36]
 [100 471]]",0.9582689108881871
BoW (Bigram),logistic_regression,0.9122670807453416,0.9122923333878532,0.9122670807453416,0.9121181517803338,0.888501797390246,0.004237205988842615,"[[669  48]
 [ 65 506]]",0.9688757153639289
BoW (Bigram),svm,0.8990683229813664,0.8989923733491871,0.8990683229813664,0.8989512062114994,0.8801490748865426,0.0034573330684397057,"[[658  59]
 [ 71 500]]",0.957046411028634
BoW (Bigram),random_forest,0.906055900621118,0.9083894607403693,0.906055900621118,0.9053839567156495,0.8925790898883825,0.005171372552511408,"[[685  32]
 [ 89 482]]",0.9637365750951986
BoW (Bigram),gradient_boosting,0.8711180124223602,0.8786717052917108,0.8711180124223602,0.8690771227753225,0.8772328681819468,0.004086557030748209,"[[685  32]
 [134 437]]",0.9531248855051329
TF-IDF (Unigram),naive_bayes,0.889751552795031,0.8953759836867112,0.889751552795031,0.888381139979395,0.8853904724164284,0.007552222762293829,"[[689  28]
 [114 457]]",0.9643032483567696
TF-IDF (Unigram),logistic_regression,0.906055900621118,0.9081925374156431,0.906055900621118,0.9054142420314893,0.8987943804428845,0.005697902881577225,"[[684  33]
 [ 88 483]]",0.9707784673930833
TF-IDF (Unigram),svm,0.9145962732919255,0.9148162934835822,0.9145962732919255,0.9143825077708913,0.8991832960646118,0.003299108604656639,"[[674  43]
 [ 67 504]]",0.970528105283984
TF-IDF (Unigram),random_forest,0.9091614906832298,0.9108057675439291,0.9091614906832298,0.9086260154642203,0.8906375310179551,0.007013199155355196,"[[683  34]
 [ 83 488]]",0.9641713502700247
TF-IDF (Unigram),gradient_boosting,0.8804347826086957,0.8866720249063337,0.8804347826086957,0.878800881341767,0.8805334616509572,0.006995307324024096,"[[686  31]
 [123 448]]",0.9542215936708458
TF-IDF (Bigram),naive_bayes,0.8913043478260869,0.8960818490396278,0.8913043478260869,0.890082097373124,0.8883057356090841,0.0053968912535181475,"[[687  30]
 [110 461]]",0.9622124194261455
TF-IDF (Bigram),logistic_regression,0.9091614906832298,0.9111618929165514,0.9091614906832298,0.9085698471847468,0.899959995093738,0.004496577068417946,"[[685  32]
 [ 85 486]]",0.9710740168096783
TF-IDF (Bigram),svm,0.9122670807453416,0.9123836494011467,0.9122670807453416,0.912078442503329,0.9005428967703587,0.004261592857731629,"[[671  46]
 [ 67 504]]",0.970394985918658
TF-IDF (Bigram),random_forest,0.906832298136646,0.9087024794593561,0.906832298136646,0.9062400705826033,0.8964654155698341,0.005325454152419922,"[[683  34]
 [ 86 485]]",0.9644302613291907
TF-IDF (Bigram),gradient_boosting,0.8850931677018633,0.891512893298593,0.8850931677018633,0.8835229249258538,0.8805347825676734,0.006377394867444881,"[[689  28]
 [120 451]]",0.9525582122435621
TF-IDF (Trigram),naive_bayes,0.8920807453416149,0.8967397251748821,0.8920807453416149,0.8908880312397777,0.8879171973921329,0.004791066429793684,"[[687  30]
 [109 462]]",0.9611865454181291
TF-IDF (Trigram),logistic_regression,0.906832298136646,0.9088870937137962,0.906832298136646,0.906210774983205,0.9001534150414674,0.005192348213336258,"[[684  33]
 [ 87 484]]",0.9709103654798281
TF-IDF (Trigram),svm,0.9114906832298136,0.9118409511971685,0.9114906832298136,0.9112259163213312,0.89996074990329,0.0020558890573762175,"[[674  43]
 [ 71 500]]",0.9704096412616295
TF-IDF (Trigram),random_forest,0.9107142857142857,0.9119083219412166,0.9107142857142857,0.910267258411198,0.8931636898864955,0.009600512044307877,"[[681  36]
 [ 79 492]]",0.9656258930599623
TF-IDF (Trigram),gradient_boosting,0.8850931677018633,0.8918508588474164,0.8850931677018633,0.8834743411807374,0.8801454895411702,0.005211377468442908,"[[690  27]
 [121 450]]",0.9537550652529146
